budgetMiB,policy,seedCount,hitRatePercent,prefillHitRatePercent,decodeHitRatePercent,seedMinimumPercent,seedMaximumPercent,meanLogicalExpertPayloadBytes
448,lru,1,0.0,0.0,0.0,0.0,0.0,526028636160
448,fifo,1,0.0,0.0,0.0,0.0,0.0,526028636160
448,lfu,1,0.0,0.0,0.0,0.0,0.0,526028636160
448,hybrid,1,0.0,0.0,0.0,0.0,0.0,526028636160
448,random,5,15.556983315392896,15.199617346938776,15.72244094488189,15.52273950484392,15.619954251883748,444194448998.4
448,oracle,1,51.64155005382132,50.22640306122449,52.29675196850394,51.64155005382132,51.64155005382132,254379294720
448,oracle-relaxed,1,51.94530409041981,50.526147959183675,52.60236220472441,51.94530409041981,51.94530409041981,252781461504
512,lru,1,0.0,0.0,0.0,0.0,0.0,526028636160
512,fifo,1,0.0,0.0,0.0,0.0,0.0,526028636160
512,lfu,1,0.0,0.0,0.0,0.0,0.0,526028636160
512,hybrid,1,0.0,0.0,0.0,0.0,0.0,526028636160
512,random,5,18.800726587728743,18.313562925170068,19.026279527559055,18.64773950484392,18.92559203444564,427131430502.4
512,oracle,1,54.4900430570506,53.08035714285714,55.14271653543307,54.4900430570506,54.4900430570506,239395405824
512,oracle-relaxed,1,54.72752960172228,53.29506802721088,55.39074803149606,54.72752960172228,54.72752960172228,238146158592
576,lru,1,38.57642626480086,37.67325680272109,38.99458661417323,38.57642626480086,38.57642626480086,323105587200
576,fifo,1,25.664356835306783,25.800382653061227,25.601377952755904,25.664356835306783,25.664356835306783,391026769920
576,lfu,1,1.8208423035522066,4.410076530612245,0.6220472440944882,1.8208423035522066,1.8208423035522066,516450484224
576,hybrid,1,14.651506996770722,14.605654761904763,14.67273622047244,14.651506996770722,14.651506996770722,448957513728
576,random,5,21.80361948331539,21.36394557823129,22.00718503937008,21.726318622174382,21.856498923573735,411335353958.4
576,oracle,1,56.93353067814855,55.50488945578231,57.59498031496063,56.93353067814855,56.93353067814855,226541961216
576,oracle-relaxed,1,57.134351453175455,55.708971088435376,57.79429133858268,57.134351453175455,57.134351453175455,225485586432
640,lru,1,38.57642626480086,37.67325680272109,38.99458661417323,38.57642626480086,38.57642626480086,323105587200
640,fifo,1,25.7460979547901,25.81526360544218,25.714074803149607,25.7460979547901,25.7460979547901,390596788224
640,lfu,1,1.9685145317545747,4.811862244897959,0.6520669291338582,1.9685145317545747,1.9685145317545747,515673686016
640,hybrid,1,24.91590419806243,26.265943877551017,24.290846456692915,24.91590419806243,24.91590419806243,394963845120
640,random,5,24.583153928955866,24.053358843537413,24.828444881889762,24.506525834230356,24.690527448869755,396714206822.4
640,oracle,1,59.068891280947255,57.73384353741496,59.68700787401575,59.068891280947255,59.068891280947255,215309352960
640,oracle-relaxed,1,59.24616523143165,57.90497448979591,59.86712598425197,59.24616523143165,59.24616523143165,214376841216
768,lru,1,38.90574542518838,38.11437074829932,39.27214566929133,38.90574542518838,38.90574542518838,321373274112
768,fifo,1,32.2578040904198,31.388180272108844,32.66043307086614,32.2578040904198,32.2578040904198,356343349248
768,lfu,1,4.356498923573735,10.276360544217686,1.6156496062992125,4.356498923573735,4.356498923573735,503112204288
768,hybrid,1,37.44516953713671,38.13775510204081,37.12450787401575,37.44516953713671,37.44516953713671,329056321536
768,random,5,29.54662271259419,28.94834183673469,29.823622047244097,29.46649623250807,29.602395048439185,370604939673.6
768,oracle,1,62.79063509149623,61.413690476190474,63.428149606299215,62.79063509149623,62.79063509149623,195731914752
768,oracle-relaxed,1,62.92956135629709,61.5593112244898,63.563976377952756,62.92956135629709,62.92956135629709,195001122816
1024,lru,1,47.59082346609257,46.02891156462585,48.313976377952756,47.59082346609257,47.59082346609257,275687276544
1024,fifo,1,40.3794402583423,38.80527210884354,41.10826771653544,40.3794402583423,40.3794402583423,313621217280
1024,lfu,1,7.839074273412271,16.34672619047619,3.9000984251968505,7.839074273412271,7.839074273412271,484792860672
1024,hybrid,1,49.83449946178687,48.01445578231293,50.67716535433071,49.83449946178687,49.83449946178687,263884898304
1024,random,5,37.47255113024758,36.9766156462585,37.70216535433071,37.41455866523143,37.53027448869752,328912286515.2
1024,oracle,1,68.22692411194834,66.359481292517,69.09153543307086,68.22692411194834,68.22692411194834,167135477760
1024,oracle-relaxed,1,68.3103471474704,66.42006802721089,69.18553149606299,68.3103471474704,68.3103471474704,166696648704
